;Absolute path;Relative path;Class
0;D:\Programming\AP_Lab2\new_dataset_task3\3938.jpg;new_dataset_task3\3938.jpg;bay horse
1;D:\Programming\AP_Lab2\new_dataset_task3\2297.jpg;new_dataset_task3\2297.jpg;bay horse
2;D:\Programming\AP_Lab2\new_dataset_task3\7662.jpg;new_dataset_task3\7662.jpg;bay horse
3;D:\Programming\AP_Lab2\new_dataset_task3\3776.jpg;new_dataset_task3\3776.jpg;bay horse
4;D:\Programming\AP_Lab2\new_dataset_task3\9359.jpg;new_dataset_task3\9359.jpg;bay horse
5;D:\Programming\AP_Lab2\new_dataset_task3\7113.jpg;new_dataset_task3\7113.jpg;bay horse
6;D:\Programming\AP_Lab2\new_dataset_task3\8321.jpg;new_dataset_task3\8321.jpg;bay horse
7;D:\Programming\AP_Lab2\new_dataset_task3\3257.jpg;new_dataset_task3\3257.jpg;bay horse
8;D:\Programming\AP_Lab2\new_dataset_task3\6674.jpg;new_dataset_task3\6674.jpg;bay horse
9;D:\Programming\AP_Lab2\new_dataset_task3\5921.jpg;new_dataset_task3\5921.jpg;bay horse
10;D:\Programming\AP_Lab2\new_dataset_task3\6971.jpg;new_dataset_task3\6971.jpg;bay horse
11;D:\Programming\AP_Lab2\new_dataset_task3\7538.jpg;new_dataset_task3\7538.jpg;bay horse
12;D:\Programming\AP_Lab2\new_dataset_task3\7773.jpg;new_dataset_task3\7773.jpg;bay horse
13;D:\Programming\AP_Lab2\new_dataset_task3\4271.jpg;new_dataset_task3\4271.jpg;bay horse
14;D:\Programming\AP_Lab2\new_dataset_task3\6564.jpg;new_dataset_task3\6564.jpg;bay horse
15;D:\Programming\AP_Lab2\new_dataset_task3\7733.jpg;new_dataset_task3\7733.jpg;bay horse
16;D:\Programming\AP_Lab2\new_dataset_task3\9878.jpg;new_dataset_task3\9878.jpg;bay horse
17;D:\Programming\AP_Lab2\new_dataset_task3\4266.jpg;new_dataset_task3\4266.jpg;bay horse
18;D:\Programming\AP_Lab2\new_dataset_task3\2899.jpg;new_dataset_task3\2899.jpg;bay horse
19;D:\Programming\AP_Lab2\new_dataset_task3\4520.jpg;new_dataset_task3\4520.jpg;bay horse
20;D:\Programming\AP_Lab2\new_dataset_task3\7185.jpg;new_dataset_task3\7185.jpg;bay horse
21;D:\Programming\AP_Lab2\new_dataset_task3\5879.jpg;new_dataset_task3\5879.jpg;bay horse
22;D:\Programming\AP_Lab2\new_dataset_task3\6999.jpg;new_dataset_task3\6999.jpg;bay horse
23;D:\Programming\AP_Lab2\new_dataset_task3\6725.jpg;new_dataset_task3\6725.jpg;bay horse
24;D:\Programming\AP_Lab2\new_dataset_task3\4487.jpg;new_dataset_task3\4487.jpg;bay horse
25;D:\Programming\AP_Lab2\new_dataset_task3\5729.jpg;new_dataset_task3\5729.jpg;bay horse
26;D:\Programming\AP_Lab2\new_dataset_task3\819.jpg;new_dataset_task3\819.jpg;bay horse
27;D:\Programming\AP_Lab2\new_dataset_task3\9224.jpg;new_dataset_task3\9224.jpg;bay horse
28;D:\Programming\AP_Lab2\new_dataset_task3\5499.jpg;new_dataset_task3\5499.jpg;bay horse
29;D:\Programming\AP_Lab2\new_dataset_task3\1466.jpg;new_dataset_task3\1466.jpg;bay horse
30;D:\Programming\AP_Lab2\new_dataset_task3\4148.jpg;new_dataset_task3\4148.jpg;bay horse
31;D:\Programming\AP_Lab2\new_dataset_task3\4504.jpg;new_dataset_task3\4504.jpg;bay horse
32;D:\Programming\AP_Lab2\new_dataset_task3\4611.jpg;new_dataset_task3\4611.jpg;bay horse
33;D:\Programming\AP_Lab2\new_dataset_task3\9868.jpg;new_dataset_task3\9868.jpg;bay horse
34;D:\Programming\AP_Lab2\new_dataset_task3\7470.jpg;new_dataset_task3\7470.jpg;bay horse
35;D:\Programming\AP_Lab2\new_dataset_task3\2530.jpg;new_dataset_task3\2530.jpg;bay horse
36;D:\Programming\AP_Lab2\new_dataset_task3\1185.jpg;new_dataset_task3\1185.jpg;bay horse
37;D:\Programming\AP_Lab2\new_dataset_task3\2605.jpg;new_dataset_task3\2605.jpg;bay horse
38;D:\Programming\AP_Lab2\new_dataset_task3\733.jpg;new_dataset_task3\733.jpg;bay horse
39;D:\Programming\AP_Lab2\new_dataset_task3\200.jpg;new_dataset_task3\200.jpg;bay horse
40;D:\Programming\AP_Lab2\new_dataset_task3\9455.jpg;new_dataset_task3\9455.jpg;bay horse
41;D:\Programming\AP_Lab2\new_dataset_task3\6210.jpg;new_dataset_task3\6210.jpg;bay horse
42;D:\Programming\AP_Lab2\new_dataset_task3\5227.jpg;new_dataset_task3\5227.jpg;bay horse
43;D:\Programming\AP_Lab2\new_dataset_task3\5514.jpg;new_dataset_task3\5514.jpg;bay horse
44;D:\Programming\AP_Lab2\new_dataset_task3\3322.jpg;new_dataset_task3\3322.jpg;bay horse
45;D:\Programming\AP_Lab2\new_dataset_task3\9406.jpg;new_dataset_task3\9406.jpg;bay horse
46;D:\Programming\AP_Lab2\new_dataset_task3\4616.jpg;new_dataset_task3\4616.jpg;bay horse
47;D:\Programming\AP_Lab2\new_dataset_task3\5687.jpg;new_dataset_task3\5687.jpg;bay horse
48;D:\Programming\AP_Lab2\new_dataset_task3\1123.jpg;new_dataset_task3\1123.jpg;bay horse
49;D:\Programming\AP_Lab2\new_dataset_task3\4395.jpg;new_dataset_task3\4395.jpg;bay horse
50;D:\Programming\AP_Lab2\new_dataset_task3\364.jpg;new_dataset_task3\364.jpg;bay horse
51;D:\Programming\AP_Lab2\new_dataset_task3\5112.jpg;new_dataset_task3\5112.jpg;bay horse
52;D:\Programming\AP_Lab2\new_dataset_task3\5847.jpg;new_dataset_task3\5847.jpg;bay horse
53;D:\Programming\AP_Lab2\new_dataset_task3\4740.jpg;new_dataset_task3\4740.jpg;bay horse
54;D:\Programming\AP_Lab2\new_dataset_task3\2353.jpg;new_dataset_task3\2353.jpg;bay horse
55;D:\Programming\AP_Lab2\new_dataset_task3\2851.jpg;new_dataset_task3\2851.jpg;bay horse
56;D:\Programming\AP_Lab2\new_dataset_task3\9333.jpg;new_dataset_task3\9333.jpg;bay horse
57;D:\Programming\AP_Lab2\new_dataset_task3\41.jpg;new_dataset_task3\41.jpg;bay horse
58;D:\Programming\AP_Lab2\new_dataset_task3\5285.jpg;new_dataset_task3\5285.jpg;bay horse
59;D:\Programming\AP_Lab2\new_dataset_task3\8222.jpg;new_dataset_task3\8222.jpg;bay horse
60;D:\Programming\AP_Lab2\new_dataset_task3\6496.jpg;new_dataset_task3\6496.jpg;bay horse
61;D:\Programming\AP_Lab2\new_dataset_task3\102.jpg;new_dataset_task3\102.jpg;bay horse
62;D:\Programming\AP_Lab2\new_dataset_task3\8235.jpg;new_dataset_task3\8235.jpg;bay horse
63;D:\Programming\AP_Lab2\new_dataset_task3\6817.jpg;new_dataset_task3\6817.jpg;bay horse
64;D:\Programming\AP_Lab2\new_dataset_task3\6801.jpg;new_dataset_task3\6801.jpg;bay horse
65;D:\Programming\AP_Lab2\new_dataset_task3\1892.jpg;new_dataset_task3\1892.jpg;bay horse
66;D:\Programming\AP_Lab2\new_dataset_task3\7959.jpg;new_dataset_task3\7959.jpg;bay horse
67;D:\Programming\AP_Lab2\new_dataset_task3\5537.jpg;new_dataset_task3\5537.jpg;bay horse
68;D:\Programming\AP_Lab2\new_dataset_task3\794.jpg;new_dataset_task3\794.jpg;bay horse
69;D:\Programming\AP_Lab2\new_dataset_task3\1974.jpg;new_dataset_task3\1974.jpg;bay horse
70;D:\Programming\AP_Lab2\new_dataset_task3\9155.jpg;new_dataset_task3\9155.jpg;bay horse
71;D:\Programming\AP_Lab2\new_dataset_task3\4384.jpg;new_dataset_task3\4384.jpg;bay horse
72;D:\Programming\AP_Lab2\new_dataset_task3\3087.jpg;new_dataset_task3\3087.jpg;bay horse
73;D:\Programming\AP_Lab2\new_dataset_task3\5408.jpg;new_dataset_task3\5408.jpg;bay horse
74;D:\Programming\AP_Lab2\new_dataset_task3\2656.jpg;new_dataset_task3\2656.jpg;bay horse
75;D:\Programming\AP_Lab2\new_dataset_task3\7130.jpg;new_dataset_task3\7130.jpg;bay horse
76;D:\Programming\AP_Lab2\new_dataset_task3\7593.jpg;new_dataset_task3\7593.jpg;bay horse
77;D:\Programming\AP_Lab2\new_dataset_task3\6504.jpg;new_dataset_task3\6504.jpg;bay horse
78;D:\Programming\AP_Lab2\new_dataset_task3\5546.jpg;new_dataset_task3\5546.jpg;bay horse
79;D:\Programming\AP_Lab2\new_dataset_task3\3252.jpg;new_dataset_task3\3252.jpg;bay horse
80;D:\Programming\AP_Lab2\new_dataset_task3\7370.jpg;new_dataset_task3\7370.jpg;bay horse
81;D:\Programming\AP_Lab2\new_dataset_task3\4480.jpg;new_dataset_task3\4480.jpg;bay horse
82;D:\Programming\AP_Lab2\new_dataset_task3\4889.jpg;new_dataset_task3\4889.jpg;bay horse
83;D:\Programming\AP_Lab2\new_dataset_task3\2593.jpg;new_dataset_task3\2593.jpg;bay horse
84;D:\Programming\AP_Lab2\new_dataset_task3\2293.jpg;new_dataset_task3\2293.jpg;bay horse
85;D:\Programming\AP_Lab2\new_dataset_task3\2760.jpg;new_dataset_task3\2760.jpg;bay horse
